Participant 1,Participant 2,Rounds,Score,Winner
.seised,annis,ft20,20-8,.seised
.seised,annis,ft20,20-13,.seised
svo ren,miro,ft20,20-18,svo ren
.seised,rian,ft20,20-3,.seised
Adrian,Zender,ft20,20 - 11,Adrian
tadex,Veinn,ft20,20 - 16,tadex
zender,Veinn,ft20,20-11,zender
tadex,Veinn,ft20,20 - 10,tadex
.seised,rian,ft20,20-13,.seised
J,Sirz,ft20,20-14,J
zender,Veinn,ft20,20-18,Veinn
J & Rian,Leach & Yumi,ft15,15-14,team 1
zender,Veinn,ft20,20-16,Veinn
zender,Veinn,ft20,20-18,Veinn
miro,sc,ft20,18-20,sc
miro,sc,ft20,18-20,sc
Adrian,Zender,ft20,20 - 12,Adrian
tadex,sc,ft20,20 - 15,tadex
tadex,sc,ft20,20 - 18,tadex
Adrian,Annis,ft20,20 - 0,Adrian
Adrian,SC,ft20,20 - 14,Adrian
Sirzechs,Rian,ft20,20 - 16,Rian
tadex,sc,ft20,20 - 18,tadex
tadex,annis,ft20,20 - 5,tadexx
Adrian,Alfa,ft20,13 - 20,Adrian
tadex,sc,ft20,20 - 15,tadex
Adrian,Annis,ft20,20 - 15,Adrian
taedx,.seised,ft20,20 - 16,taedx
alfa,annis,ft20,20 - 13,alfa
Adrian,Alfa,ft20,12 - 20,Adrian
Adrian,SC,ft20,7 - 20,Adrian
.seised,sc,ft20,20 - 15,.seised
.seised,sc,ft20,20 - 16,sc
tadex,sc,ft20,11 - 20,sc
Adrian,SC,ft20,20 - 18,Adrian
Adrian,Veinn,ft20,20 - 2,Adrian
.seised,rian,ft20,20 - 10,.seised
annis,zender(finger cut debuff),ft20,20 - 17,annis
Rian,Sirzechs,ft20,20 - 4,Rian
Rian,Sirzechs,ft20,20 - 8,Rian
Xanix,rian,ft20,20-4,Rian
Rian,Yoda,ft20,20 - 8,Rian
Veinn,zender,ft20,20 - 16,zender
Rian,Sirzechs,ft20,20 - 6,Rian
suka,sc,ft20,20 - 12,suka
Rian,Sirzechs,ft20,20 - 6,Rian
Xanix,Rian,ft20,7-20,Rian
Adrian,"Annis, Zender and Miro",ft15,39 - 11,Adrian
.seised,annis,ft20,20 - 13,.seised
.seised,tadej,ft20,20 - 19,.seised
Adrian,zender,ft20,20 - 13,zender
Adrian,Seised + Annis cheering him up,ft20,20 - 17,Adrian
zender,Ahm,ft20,20 - 14,Ahm
zender,Pivo,ft20,20 - 16,zender
zender,Adrian,ft20,20-6,Adrian
.seised,alfanya,ft20,20 - 16,.seised
.seised,alfanya,ft20,20 - 12,.seised
Adrian,SC,ft20,20 - 19,Adrian (SC Aura Debuff)
zender,Tad,ft20,20 - 18,Tad
Sirzechs,Annis,ft20,20 - 14,Annis
.seised,hespera,ft20,20 - 16,.seised
.seised,alfanya,ft20,20 - 17,.seised
Rian,Sirzechs,ft20,20 - 2,Rian
.seised,hespera,ft20,20 - 12,hespera
.seised,annis,ft20,20 - 17,skyni-.seised
Annis,Adrian,ft20,20 - 19,Annis
.seised,hespera,ft20,20 - 18,.seised
Adrian,Yui,ft20,20 - 14,Adrian
.seised,tadej,ft20,20 - 19,tadej
hespera,adrian,ft20,20 - 13,hespera
.seised,annis,ft20,20 - 14,.seised
Sirzechs,Adrian,ft20,20 - 3,Adrian
Yui,miro,ft20,20 - 10,Yui
Adrian,SC,ft20,20 - 13,Adrian
zender,SC,ft20,20 - 18,SC
tadex,hydralfa,ft20,20 - 15,Tad
Adrian,hydralfa,ft20,20 - 19,Hydralfa
Adrian,SC,ft20,20 - 19,Adrian
tadex,hydralfa,ft20,20 - 20,draw
.seised,adrian,ft20,20 - 17,.seised
tadex,hydralfa,ft20,20 - 7,tadex
adrian,tadex,ft20,20 - 12,adrian
asleep tadex,hydralfa,ft20,20 - 16,Tad
Alfa,Adrian,ft20,14 - 20,Adrian
SC,Alfa,ft20,19 - 20,Hydralfa
Adrian,Miro,ft20,7 - 20,Miro of course
Alfa,Miro,ft20,14 - 20,Miro
SC,Adrian,ft20,20 - 17,SC
Alfa,Adrian,ft20,11 - 20,Adrian
Alfa,Adrian,ft20,13 - 20,Adrian
Alfa,Adrian,ft20,18 - 20,Alfa
Alfa,Adrian,ft20,10 - 20,Adrian
SC,Tadex,ft20,20 - 19,SC
Alfa,Adrian,ft20,16 - 20,Alfa
Zender,Adrian,ft20,14 - 20,Adrian
zender,Miro,ft20,11 - 20,zender
Adrian,Rian,ft20,20 - 10,Adrian
Alfa,Adrian,ft20,18 - 20,Adrian
Adrian,Tadex,ft20,20 - 15,Adrian
miro,annis,ft20,20 - 19,miro
Adrian,Miro,ft20,9 - 20,Adrian
Adrian,Annis,ft20,18 - 20,Adrian
Adrian,SC,ft20,20 - 12,Adrian
Adrian,Annis,ft20,6 - 20,Adrian
annis miro rian,adrian suka tali,ft15,15 - 11,annis miro rian
tadex,annis,ft20,20 - 13,tadex
Adrian,Suka,ft20,20 - 8,Adrian (Suka let me win)
tadex,SC,ft20,20 - 9,tadex
Adrian,SC,ft20,17 - 20,SC
miro,rian,ft20,16-20,rian
Adrian,Adrian,ft20,16 - 20,the other Adrian
annis,miro,ft20,13-20,miro
Adrian,miro,ft20,20 - 9,Adrian
Adrian,Annis,ft20,9 - 11,Osama bin Laden
adrian,miro,ft20,20 - 10,adrian
meeeli,lunicia,ft20,16 - 20,lunicia
