Participant 1,Participant 2,Rounds,Score,Winner
Seised,Adrian,ft20,20 - 15,Seised
miro,suka,ft20,11 - 20,suka
Paladino,Adrian,ft20,20 - 9,Adrian
Seised,miro,ft20,20 - 11,Seised
Yui,Hespera,ft20,20 - 18,Yui
paladino,miro,ft20,20 - 15,paladino
Miro,Hespera,ft20,20 - 19,Miro
Seised,Hespera,ft20,20 - 15,Seised
Hespera,miro,ft20,20 - 11,Hespera
zender,pivo,ft20,20-15,zender
Ph3x,Adrian,ft20,20 - 10,Ph3x
Hespera,Yui,ft20,20 - 18,Hespera
Seised,zender,ft20,14 - 17,Seised tactically retreated :v
miro,pivo,ft20,10 - 20,pivo
Seised,Miro,ft20,20-6,Seised
Seised & Adrian,Miro & zender,ft15,15 - 10,team 1
Zender,Adrian,ft20,20-11,Adrian
Seised & Adrian,Miro & zender,ft10,10 - 9,team 1
Zender,Adrian,ft20,20-11,Adrian
Seised,zender,ft20,20-11,Seised
Seised,Adrian,ft20,20-11,Adrian
Seised,zender,ft20,20-12,Seised
Seised,Elar,ft20,20-1,Seised
Seised,Miro,ft20,20 - 18,Miro
miro,Sky,ft20,20 - 18,miro
Adrian,Hespera,ft20,20 - 6,Adrian (39 degree fever buff)
Seised,Sky,ft20,20 - 9,Seised
Ph3x,miro,ft20,20 - 7,ph3x
paladino,miro,ft20,20 - 18,paladino
Aliya,Sky,ft20,20 - 17,Sky
Annis,Adrian,ft20,9 - 20,Adrian
Sirzechs,Rian,ft20,20 - 9,Rian
Ph3x,miro,ft20,20 - 5,ph3x
Adrian,Ph3x,ft20,20 - 15,Ph3x
Aliya,Sky,ft20,20 - 12,Sky
Adrian,Ph3x,ft20,15 - 20,Adrian
Adrian(ping debuff can't kill),miro(ping buff can kill),ft20,20 - 15,adrian
zender,Seised,ft20,20 - 19,zender
zender,veinn,ft5,5 - 2,zender
Ph3x,Miro,ft20,20 - 11,ph3x
zender,miro,ft10,10 - 5,zender
Ph3x,Miro,ft20,20 - 6,ph3x
pivo,ryd,ft20,20 - 16,pivo
Seised,Aliya,ft20,20 - 4,Seised
Seised,Rion,ft20,20 - 7,Seised
Adrian,Seised,ft20,20 - 20,50/50
zender,miro,ft10,10 - 3,miro
pivo,rion,ft20,20 - 19,rion
Rian,Ryd,ft20,20 - 19,Rian
fabiasheen,"miro,suka",ft15,15-2,miro suka
pivo,ren,ft20,20 - 16,pivo
zender,Plep,ft20,20 - 14,zender
Aliya,Ren,ft20,20 - 19,Aliya
Ryd,Sky,ft20,20 - 16,Sky
Annis,Suka,ft20,20 - 15,Suka
Hespera,Adrian,ft20,20 - 16,Hespera
pivo,rian,ft20,20 - 4,rian
zender,Miro,ft20,20-19,zender
Annis,Paladino,ft20,20 - 18,Annis
Adrian,Paladino,ft20,20 - 9,Adrian
Annis,Miro,ft20,20 - 16,Annis
suka,miro,ft20,20 - 9,suka
Seised,Paladino,ft20,20 - 6,Seised
seised,miro,ft20,20 - 14,seised
Seised,Annis,ft20,20 - 2,Seised
Seised,Adrian,ft20,20 - 19,Cexed
Seised,Saiden,ft20,20-6,Seised
suka,miro,ft20,20 - 6,suka
suka,miro,ft20,20 - 15,suka
seised,miro,ft20,20 - 9,seised
Seised,Saiden,ft20,20-13,Seised
lunicia,pivo,ft20,20 - 19,lunicia
suka,miro,ft20,20 - 12,suka
Rian,Adrian,ft20,20 - 13,Adrian
Rian,Pivo,ft20,20 - 14,Rian
lunicia,rian,ft20,20 - 14,rian
Seised,Alfa,ft20,20-14,Alfa
Seised,Rian,ft20,20-11,Seised
Domene,Osaka,ft20,20-19,Osaka
kivi,miro,ft20,20 - 6,kivi
Adrian,Hespera,ft20,20-18,Hespera
Adrian,Suka,ft20,20 - 13,Adrian
seised,miro,ft20,20 - 2,seised
Adrian,Hespera,ft20,12-20,Adrian
Kivi,Hespera,ft20,20-19,Hespera
Kivi,Hespera,ft20,20-19,Kivi
Adrian,miro,ft20,20-11,Adrian
miro,Saiden,ft20,20-11,miro
Seised,Rian,ft20,20-14,Seised
miro,kivi,ft20,14-20,kivi
Fabiasheen,Alfa,ft20,20-2,Alfa
miro,Saiden,ft20,20-12,miro
Ph3x,Adrian,ft20,20-7,Ph3x
Ph3x,Adrian,ft20,12-20,Adrian
Ph3x,Suka,ft20,20-6,Ph3x
Yumi,Osaka,ft20,20-3,Yumi
Ph3x,Adrian,ft20,15-20,Adrian
Ph3x,Alfa,ft20,20-14,Ph3x
Ph3x,Adrian,ft20,17-20,Adrian
Annis,Sky,ft20,20-16,Annis
Annis,Sky,ft20,20-16,Annis
Annis,Sky,ft20,20-16,Sky
Kashimo,Adrian,ft20,20 - 16,Adrian
Kashimo,Sky,ft20,20-10,Kashimo
Endless,Sky,ft20,20-15,Endless
Annis,Sky,ft20,20-16,Sky
Ph3x,Adrian,ft20,20-18,Ph3x
Lunicia,Sky,ft20,20-13,Sky
Ren,Sky,ft20,20 - 18,Sky
Ph3x,pivo,ft20,20-5,Ph3x
suka,miro,ft20,20 - 14,suka
suka,miro,ft20,20 - 10,suka
Ph3x,Adrian,ft20,20-10,Ph3x
rian,pivo,ft20,20 - 13,rian (and he is A rank XDDDDD)
Ph3x,Adrian,ft20,20-9,Ph3x
Ph3x,Sky,ft20,20-5,Ph3x
ph3x,miro,ft20,20 - 13,ph3x
ph3x,miro,ft20,20 - 4,ph3x
Rian,Adrian,ft20,12 - 20,Adrian
esdeath,kivi,ft20,13 - 20,kivi
suka,miro,ft20,20 - 11,suka
Alfa,Adrian,ft20,3 - 8,To Be Continued
esdeath,miro,ft20,20 - 18,esdeath
adrian,pivo,ft20,20 - 11,adrian
esdeath,kivi,ft20,9 - 20,kivi
Seised,Adrian,ft20,20-5,Adrian (Cexxed Version)
Seised,Alfa,ft20,20-16,Seised
Ph3x,Adrian,ft20,20-13,Ph3x
Elar,Annis,ft20,20-16,Annis
Elar,Annis,ft20,20-10,Annis
Ph3x,Adrian,ft20,20-18,Ph3x
miro,pivo (all debufs),ft20,20-11,miro
Adrian,Ph3x,ft20,20-9,Adrian
Ph3x,Miro,ft20,20-15,Ph3x
Seised,Rian,ft20,20-7,Seised
miro,Saiden,ft20,20-4,miro
Alfa,Adrian,ft20,20-13,Alfa
Ph3x,Adrian,ft20,20-13,Ph3x
Annis,Suka,ft20,20 - 7,Suka
ph3x,miro,ft20,20-16,ph3x
Ph3x,Rian,ft20,20-7,Ph3x
kiwi,miro,ft20,18-20,miro
pivo,miro,ft20,20-16,miro mazafaker
Adrian,Alfa,ft20,20-19,Adrian
Adrian,Seised (Rigged),ft20,20 - 16,Adrian
Annis,Elar,ft20,20-17,Annis
Ph3x,Rian,ft20,20-3,Ph3x
Annis,Suka,ft20,20-13,Suka
Annis,Leach,ft20,20-18,Leach
pivo,ovrbls,ft20,20 - 19,overblyats
pivo,ovrbls,ft20,20 - 14,pivo
pivo,renterik,ft20,20 -15,renterik
Rian,Adrian,ft20,20-16,Rian
Rian,Ren,ft20,9-20,Rian
seised,miro,ft20,20-13,seised
renterik,miro,ft20,10-20,miro
Rian,Ren,ft20,14-20,Rian
miro,rian,ft20,16-20,rian
miro,suka,ft20,16-20,suka
Rian,Ren,ft20,14-20,Rian
Adrian,Paladino,ft20,20-6,Adrian
renterik,miro,ft20,10-20,miro
Pivo,Paladino,ft20,20 - 11,Paladino
renterik,kivi,ft20,16-20,kivi
Plep,Saiden,ft20,20 - 19,Saiden
helado,miro,ft20,8-20,miro
Plep,pivo,ft20,20 - 11,Plep
ren,miro,ft20,18-20,miro
miro,kivi,ft20,16-20,kivi
Annis,Bruki,ft20,20 - 14,Annis
miro,kivi,ft20,12-20,kivi
suka,miro,ft20,20-17,suka
plip,kivi,ft20,10 - 15,kivi
Ph3x,Adrian,ft20,20-17,Ph3x
seised,kivi,ft20,18-20,kivi
adrian,kivi,ft20,15-20,kivi
esdeath,kivi,ft20,14-20,kivi
plip,kivi,ft20,14-20,kivi
Pex,suka,ft20,18-20,Pex
miro,pivo,ft20,20-5,miro
miro,pivo,ft20,15-20,pivo
Adrian,kivi,ft20,11-20,kivi
miro,kivi,ft20,9-20,kivi
Tad,KiVi,ft20,20 - 13,Kivi
suka,miro,ft100k,100k - 66k,suka
Paladino,Kivi,ft20,20 - 4,Kivi
suka,pivo,ft20,20-5,suka
sharp,miro,ft20,17-20,miro
Plep,Adrian,ft20,12 - 20,Adrian
fabiasheen,miro,ft20,7-20,miro
suka,asura,ft20,20-14,suka
sharp,miro,ft20,16-20,miro
suka,pivo,ft20,20 - 15,suka
suka,adrian,ft20,20 - 11,suka
suka,adrian,ft20,20 - 17,suka
suka,miro,ft20,20 - 11,suka
seised,suka,ft20,17-20,suka
Kivi,adrian,ft20,20 - 16,kivi
piwo,miro,ft20,16-20,miro
piwo,suka,ft20,20 - 10,suka
piwo,miro,ft20,18-20,miro
suka,miro,ft20,20-8,suka
adrian,miro,ft20,20-13,adrian
Pex,miro,ft20,20-7,Pex
Pex,suka,ft20,12-20,pex
miro,ph3x,ft20,13-20,ph3x
Pex,suka,ft20,9-20,pex
Pex,suka,ft20,14-20,pex
Miro,suka,ft20,20 - 9,suka
miro,rion,ft20,13-20,rion
miro,paladino,ft20,20 - 10,miro
miro,suka,ft20,13-20,suka
Adrian,Alfa,ft20,16 - 20,Alfa
Adrian,Alfa,ft20,16 - 20,Alfa
Miro,Plep,ft20,20 - 17,Plep
miro,seised,ft20,10-20,seised
Adrian,Alfa,ft20,14 - 20,Alfa
Phoenix,Adrian,ft20,20 - 12,Phoenix
Phoenix,Adrian,ft20,20 - 9,Phoenix
Ren,Rian,ft20,20 - 10,Rian
Phoenix,Alfa,ft20,18 - 20,Alfa
Ph3x,Paladino,ft20,20 - 11,Ph3x
fabiasheen,terami,ft20,22-0,fabiasheen
suka,pivo,ft20,20-14,suka
Adrian,Paladino,ft20,20 - 11,Adrian
Phoenix,Zangetsu,ft20,20 - 6,Phoenix
phex,pivo,ft20,20-2,phex
Adrian,Alfa,ft20,20 - 16,Adrian
Phoenix,Pivo,ft20,20 - 2,Phoenix
Phoenix,Alfa,ft20,20 - 6,Phoenix
Alfa,Pex,ft20,19 - 20,Alfa
Plep,Tadex,ft20,14 - 20,Tadex
Plep,Tadex,ft20,14 - 20,Tadex
Plep,Tadex,ft20,14 - 20,Tadex
Plep,Tadex,ft20,9 - 20,Tadex
meeeli,Sky,ft20,11 - 20,Sky
Phoenix,Miro,ft20,20 - 5,Phoenix
Plep,Tadex,ft20,7 - 20,Tadex
Adrian,Alfa,ft20,20 - 7,Adrian
Aliya,Rai,ft20,20 - 9,Aliya
Seised,Alfa,ft20,20 - 10,Alfa
Ph3x,Adrian,ft20,20 - 18,ph3x
Ph3x,Adrian,ft20,20 - 10,ph3x
Seised,Ph3x,ft20,6 - 19,Ph3x
Ph3x,Kivi,ft20,14 - 13,Unfinished
Ph3x,Adrian,ft20,20 - 10,ph3x
meeeli,Sky,ft20,11 - 20,Sky
Ph3x,Kivi,ft20,19 - 20,Kivi
Pivo,Aliya,ft20,20 - 16,Pivo
Adrian,Ph3x,ft20,13 - 20,Adrian
tadex,adrian,ft20,16 - 20,adrian
Plep,Esdeath,ft20,20 - 10,Plep
Plep,Esdeath,ft20,15 - 20,Esdeath
Annis,pivo,ft20,20 -13,Annis
Alfa,Tadex,ft20,14 - 20,Tad
Reanu Keeves,Tadex,ft41,1 - 41,Tadex
tadex,a2,ft20,15 - 20,a2
Plep,Esdeath,ft20,15 - 20,Esdeath
seised,suka,ft20,17-20,suka
yiu,pex,ft20,20 - 12,yiu
meeeli,Esdeath,ft20,7 - 20,Esdeath
meeeli,Esdeath,ft20,8 - 20,Esdeath
Kivi,Plep,ft20,14- 20,Kivi
Alfa,Yui,ft20,20 - 20,Draw
meeeli,Mercy,ft20,20 - 15,meeeli
fabiasheen,zero1,ft20,7-20,fabiasheen
Aliya,Xanixxx,ft20,20 - 15,Aliya
Kivi,Plep,ft20,11- 15,Kivi
Seised,Adrian,ft20,20 - 19,Seised
Paladino,Aliya,ft20,20 - 10,Paladino
Esdeath,Kivi,ft20,14-20,Kivi
Phoenix,Paladino,ft20,20 - 3,Phoenix
Plep,Esdeath,ft20,20 - 17,Plep
A2,Kivi,ft20,20 - 14,Kivi
Sas,Paladino,ft20,20 - 11,Sas
<@662792045617872996>,<@637908000052477953>,ft20,20 - 17,Plep
Adrian,Ph3x,ft20,14 - 20,Ph3x
Plep,Esdeath,ft20,20 - 17,Plep
Phoenix,Adrian,ft20,20 - 8,Phoenix
<@618784334173962240>,<@633398160844259348>,ft20,20 - 3,Kaiden
@Terami,@sas sasas,ft20,20 - 14,Terami
<@203943566479851521>,<@186075780768333824>,ft20,20 - 17,Blitz
<@246256712334442497> & <@186075780768333824>,<@209257693993631744> & Ahm,ft15,15 - 7,team 2
<@533681260204392468>,<@673053465727074304>,ft20,20 - 18,Jenox
<@246256712334442497> & <@209257693993631744>,<@186075780768333824> & Ahm,ft15,15 - 12,team 2
<@246256712334442497>,<@209257693993631744>,ft20,20 - 16,Tad
<@246256712334442497> & Ahm,<@186075780768333824> & <@209257693993631744>,ft15,15 - 11,team 1
<@729217412007985152> <@533681260204392468> <@662792045617872996> <@979395168547504238>,<@203943566479851521> <@170289081278922753> <@922890500925714513> @Saiden,ft15,15 - 13,team 1
<@254234672639377409>,<@209257693993631744>,ft20,20 - 19,<@209257693993631744>
<@864526001681334325>,<@209257693993631744>,ft20,20 - 13,Ph3x
<@771427111013318669>,@Olas,ft20,20 - 18,<@771427111013318669>
<@208414964568948737>,<@729217412007985152>,ft20,20 - 12,Rival
<@864526001681334325>,<@254234672639377409>,ft20,20 - 19,Alfa
<@864526001681334325>,<@215963632121413632>,ft20,20 - 7,Ph3x
<@864526001681334325>,<@254234672639377409>,ft20,20 - 8,Ph3x
<@864526001681334325>,<@215963632121413632>,ft20,19 - 20,Fen
<@864526001681334325>,<@254234672639377409>,ft20,18 - 20,Alfa
<@864526001681334325>,<@254234672639377409>,ft20,20 - 10,Ph3x
<@864526001681334325>,<@531534866097897485>,ft20,20 - 11,Ph3x
<@209257693993631744>,<@637908000052477953>,ft20,20 - 9,<@209257693993631744>
<@662792045617872996>,<@533681260204392468>,ft20,20 - 19,<@533681260204392468>
<@531534866097897485>,<@728604069479841834>,ft20,20 - 12,<@531534866097897485>
<@864526001681334325>,<@209257693993631744>,ft20,20 - 9,Ph3x
<@533681260204392468>,<@729217412007985152>,ft20,20 - 10,Jenox
<@864526001681334325>,<@209257693993631744>,ft20,20 - 15,Ph3x
<@662792045617872996>,<@729217412007985152>,ft20,20 - 7,Ishtar
<@533681260204392468>,<@922890500925714513>,ft20,20 - 7,Jenox
<@922890500925714513>,<@729217412007985152>,ft20,20 - 17,Rian
<@922890500925714513>,<@771427111013318669>,ft20,20 - 8,Rian
Seised,pex,ft20,20 - 18,Seised
<@531534866097897485>,<@209257693993631744>,ft20,13 - 20,Tad
<@922890500925714513>,<@752630255537094657>,ft20,20 - 6,Rian
<@729217412007985152>,<@728604069479841834>,ft20,20 - 10,Esdeath
<@729217412007985152>,<@728604069479841834>,ft20,20 - 14,Esdeath
<@729217412007985152>,<@728604069479841834>,ft20,20 - 10,Esdeath
<@533681260204392468>,<@338411288655036431>,ft20,20-16,Asta
<@729217412007985152>,@Cordobes,ft20,20-7,kite
<@367011033384091668>,<@254234672639377409>,ft20,12 - 20,Alfa
<@729217412007985152>,<@662792045617872996>,ft20,20-14,ishtar
<@729217412007985152>,<@662792045617872996>,ft20,18 - 20,Ishtar
<@367011033384091668>,<@254234672639377409>,ft20,20 - 18,Jade
<@864526001681334325>,<@246256712334442497>,ft20,15 - 20,Zender
<@864526001681334325>,<@246256712334442497>,ft20,20 - 12,Ph3x
<@864526001681334325>,<@246256712334442497>,ft20,20 - 16,Ph3x
<@208414964568948737>,<@729217412007985152>,ft20,20 - 10,Rival
<@864526001681334325>,<@246256712334442497>,ft20,20 - 13,Ph3x
<@864526001681334325>,<@246256712334442497>,ft20,20 - 13,Ph3x
<@215963632121413632>,<@208414964568948737>,ft20,20 - 9,Fen
<@855617725628153886>,<@246256712334442497>,ft20,20 - 19,zender
<@531534866097897485> & <@170289081278922753>,<@254234672639377409> & <@864526001681334325>,ft15,15 - 11,team 2
@sky,<@531534866097897485>,ft20,20 - 6,syal
<@864526001681334325>,<@254234672639377409>,ft20,20 - 15,Ph3x
<@864526001681334325>,<@254234672639377409>,ft20,20 - 14,Ph3x
<@864526001681334325>,<@246256712334442497>,ft20,20 - 13,Ph3x
<@864526001681334325>,<@254234672639377409>,ft20,20 - 7,Ph3x
<@864526001681334325>,<@246256712334442497>,ft20,20 - 10,Ph3x
<@864526001681334325>,<@246256712334442497>,ft20,20 - 12,Ph3x
<@367011033384091668>,<@662792045617872996>,ft20,20 - 7,Jade
<@864526001681334325>,<@246256712334442497>,ft20,20 - 8,Ph3x
<@922890500925714513>,@CORDOBES,ft20,20 - 1,Rian
<@864526001681334325> & <@367011033384091668>,<@246256712334442497> & clown 2,ft15,15-7,Team 1
<@864526001681334325> & <@246256712334442497>,<@367011033384091668> & <@254234672639377409>,ft15,15-14,Team 1
<@864526001681334325> & <@215963632121413632> & clown 2,<@367011033384091668>  & <@254234672639377409> & <@246256712334442497>,ft15,11-15,Team 2
<@864526001681334325>,<@215963632121413632>,ft20,20 - 13,Ph3x
<@864526001681334325>,<@215963632121413632>,ft20,20 - 8,Ph3x
<@864526001681334325>,<@215963632121413632>,ft20,20 - 13,Fen
<@864526001681334325>,<@215963632121413632>,ft20,20 - 17,Ph3x
<@729217412007985152>,<@662792045617872996>,ft20,20 - 17,ishtar
<@729217412007985152>,@zeil,ft20,20 - 9,zeil
<@367011033384091668>,<@316436772722704385>,ft20,20 - 5,jade
<@367011033384091668>,<@316436772722704385>,ft20,20 - 12,jade
<@662792045617872996>,<@633398160844259348>,ft20,20 - 15,ishtar
<@531534866097897485>,<@254234672639377409>,ft20,20 - 17,Alfa
<@662792045617872996>,<@367011033384091668>,ft20,20 - 9,jade
<@203943566479851521>,<@367011033384091668>,ft20,20 - 15,jade
<@316436772722704385>,<@367011033384091668>,ft20,20 - 2,jade
<@531534866097897485>,<@203943566479851521>,ft20,20 - 7,zack
<@346012713329229827>,<@246256712334442497>,ft20,20 - 19,Yui
<@531534866097897485>,<@274129266265030657>,ft20,20 - 7,Syal
<@456226577798135808>,<@637908000052477953>,ft20,20 - 19,Chelas
<@934771890789154826>,<@633398160844259348>,ft20,20 - 6,korean
<@254234672639377409>,<@203943566479851521>,ft20,20 - 14,me
<@346012713329229827>,<@246256712334442497>,ft20,20 - 16,Yui
<@254234672639377409>,<@531534866097897485>,ft20,20 - 12,syal
<@728604069479841834>,<@729217412007985152>,ft20,20 - 16,Esdeath
<@922890500925714513>,<@729217412007985152>,ft20,20 - 18,Kite
<@864526001681334325>,@sky,ft20,20 - 5,Ph3x
<@752630255537094657>,@ren,ft20,20 - 19,Helado
<@662792045617872996>,<@910137681697210379>,ft20,20 - 16,Ishtar
<@170289081278922753>,<@274129266265030657>,ft20,20 - 17,Sho
<@771427111013318669>,<@718757746757074996>,ft20,20 - 17,Terami
<@922890500925714513>,<@274129266265030657>,ft20,20 - 17,Rian
<@728604069479841834>,<@493139882169073686>,ft20,20 - 10,Xanixx
<@864526001681334325>,<@254234672639377409>,ft20,20 - 18,Ph3x
<@215963632121413632>,<@493139882169073686>,ft20,20 - 6,Fen
<@531534866097897485>,<@637908000052477953>,ft20,20 - 19,syal
<@729217412007985152>,<@728604069479841834>,ft20,20 - 15,Esdeath
<@970209002552176680>,<@637908000052477953>,ft20,20 - 16,Plep
<@922890500925714513>,<@493139882169073686>,ft20,20 - 19,Rian
<@254234672639377409>,<@208414964568948737>,ft20,20 - 18,Alfa
<@922890500925714513>,<@729217412007985152>,ft20,20 - 17,kite
<@493139882169073686>,<@316436772722704385>,ft20,20 - 3,Xanix
<@970209002552176680>,<@637908000052477953>,ft20,20 - 16,BeachHouse
<@456226577798135808>,<@346012713329229827>,ft20,20 - 7,yumi
<@864526001681334325>,@BeachHouse,ft20,20 - 16,ph3x
<@493139882169073686>,<@637908000052477953>,ft20,20 - 17,Plep
<@493139882169073686>,<@729217412007985152>,ft20,20 - 14,Xanix
<@864526001681334325>,<@246256712334442497>,ft20,20 - 9,Phex
<@864526001681334325>,<@254234672639377409>,ft10,10 - 5,ph3x
<@215963632121413632>,<@633398160844259348>,ft20,20 - 5,Fen
<@456226577798135808>,<@855617725628153886>,ft20,20 - 17,Hespera
<@922890500925714513>,<@493139882169073686>,ft20,20 - 15,xanixx
<@456226577798135808>,<@633398160844259348>,ft20,20 - 5,Chelas
<@456226577798135808>,<@493139882169073686>,ft20,20 - 11,Chelas
<@346012713329229827>,<@246256712334442497>,ft20,20 - 16,Yui
<@215963632121413632>,<@637908000052477953>,ft20,20 - 10,Fen
<@346012713329229827>,<@864526001681334325>,ft20,20 - 18,ph3x
<@346012713329229827>,<@246256712334442497>,ft20,20 - 13,Yui
<@346012713329229827>,<@246256712334442497>,ft20,20 - 14,zender
<@346012713329229827>,<@254234672639377409>,ft20,20 - 10,yui
<@208414964568948737>,<@246256712334442497>,ft20,20 - 10,zender
<@346012713329229827>,<@254234672639377409>,ft20,20 - 11,Yui
<@456226577798135808>,<@728604069479841834>,ft20,20 - 3,yumi
<@864526001681334325>,<@855617725628153886>,ft20,20 - 14,Ph3x
<@456226577798135808>,<@254234672639377409>,ft20,20 - 12,yumi
<@254234672639377409>,<@531534866097897485>,ft20,20 - 18,Syal
<@456226577798135808>,Ad3m,ft20,20 - 13,yumi
<@254234672639377409>,<@864526001681334325>,ft100,100 - 52,Phex
<@456226577798135808>,Ad3m,ft20,20 - 16,yumi
<@254234672639377409>,<@246256712334442497>,ft20,20 - 15,zender
<@456226577798135808>,<@346012713329229827>,ft20,20 - 12,Seised
<@254234672639377409>,<@246256712334442497>,ft20,20 - 10,zender
<@254234672639377409>,<@246256712334442497>,ft20,20 - 13,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 10,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 8,zender
<@316436772722704385>,<@274129266265030657>,ft20,20 - 11,Saiden
<@456226577798135808>,<@187295554282323968>,ft20,20 - 8,yumi
<@456226577798135808>,Rian,ft20,20 - 4,yumi
<@456226577798135808>,<@274129266265030657>,ft20,20 - 11,yumi
<@456226577798135808>,<@246256712334442497>,ft20,20 - 14,Yumi
<@456226577798135808>,<@254234672639377409>,ft20,20 - 17,Alfa
<@864526001681334325>,<@254234672639377409>,ft20,20 - 9,Phex
<@456226577798135808> り.,<@274129266265030657>,ft20,20 - 18,yumi
<@254234672639377409>,<@246256712334442497>,ft20,20 - 18,zender
<@637908000052477953>,<@246256712334442497>,ft20,20 - 7,zender
<@456226577798135808>,<@274129266265030657>,ft20,20 - 11,yumi
<@456226577798135808>,<@187295554282323968>,ft20,20 - 5,yumi
<@456226577798135808> り.,@Adem,ft20,20 - 15,yumi
<@208414964568948737>,<@864526001681334325>,ft20,20 - 5,ph3x
<@208414964568948737>,<@346012713329229827>,ft20,20 - 14,yui
<@346012713329229827>,<@864526001681334325>,ft20,20 - 14,ph3x
<@864526001681334325>,@sky,ft20,20 - 2,Ph3x
<@864526001681334325>,<@531534866097897485>,ft20,20 - 16,ph3x
<@456226577798135808>,<@854882082286731284>,ft20,20 - 15,yumi
<@864526001681334325>,<@531534866097897485>,ft20,20 - 19,ph3x
<@531534866097897485>,<@633398160844259348>,ft20,20 - 8,syal
<@533681260204392468>,<@338411288655036431>,ft20,20 - 9,Jenox
<@208414964568948737>,<@531534866097897485>,ft20,20 - 11,syal
<@864526001681334325>,<@531534866097897485>,ft20,20 - 10,ph3x
<@864526001681334325>,<@215963632121413632>,ft20,20 - 15,ph3x
<@637908000052477953>,<@316436772722704385>,ft20,20 - 14,Plep
<@346012713329229827>,<@854882082286731284>,ft20,20 - 12,yui
<@633398160844259348>,<@728604069479841834>,ft20,20 - 16,yoda
<@316436772722704385>,<@728604069479841834>,ft20,20 - 15,esdeath
<@864526001681334325>,<@254234672639377409>,ft20,20 - 11,ph3x
<@864526001681334325>,<@662792045617872996>,ft20,20 - 7,ph3x
<@456226577798135808>,<@531534866097897485>,ft20,20 - 16,syal
<@456226577798135808>,<@531534866097897485>,ft20,20 - 15,yumi
<@864526001681334325> & <@254234672639377409>,<@456226577798135808> & <@854882082286731284>,ft20,15 - 13,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 13,ph3x
<@864526001681334325>,<@274129266265030657>,ft20,20 - 7,Ph3x
<@965796548493586472>,<@274129266265030657>,ft20,20 - 8,saiden
<@864526001681334325>,<@274129266265030657>,ft20,20 - 11,Ph3x
@rlan,<@274129266265030657>,ft20,20 - 10,saiden
<@864526001681334325>,<@456226577798135808>,ft20,20 - 10,ph3x
<@531534866097897485>,<@456226577798135808>,ft20,20 - 18,syal
<@864526001681334325>,<@854882082286731284>,ft20,20 - 16,ph3x
<@864526001681334325>,<@728604069479841834>,ft20,20 - 3,ph3x
<@662792045617872996>,<@346012713329229827>,ft20,20 - 16,Seised
<@531534866097897485>,<@854882082286731284>,ft20,20 - 13,Fleur
<@864526001681334325>,<@346012713329229827>,ft20,20 - 12,Phex
<@274129266265030657>,<@855617725628153886>,ft20,20 - 19,hespera
<@274129266265030657>,<@215963632121413632>,ft20,20 - 16,fen
<@254234672639377409>,<@246256712334442497>,ft20,20 - 19,zender
<@864526001681334325>,<@246256712334442497>,ft20,20 - 15,Phex
<@274129266265030657>,<@729217412007985152>,ft20,20 - 10,saiden
<@868596884242059285>,<@855617725628153886>,ft20,20 - 16,hespera
<@274129266265030657>,<@662792045617872996>,ft20,20 - 19,Saiden
<@868596884242059285>,<@855617725628153886>,ft20,20 - 12,ilyas
runa,<@771427111013318669>,ft20,20 - 5,terami
<@186075780768333824>,<@637908000052477953>,ft20,20 - 10,sc
<@868596884242059285>,Tasty,ft10,10 - 1,ilyas
<@864526001681334325> & <@456226577798135808>,<@186075780768333824> & <@215963632121413632>,ft15,15 - 6,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 16,ph3x
<@367011033384091668>,<@633398160844259348>,ft20,20 - 15,jade
<@864526001681334325>  <@186075780768333824>,<@367011033384091668> <@456226577798135808>,ft15,15 - 14,team 2
<@864526001681334325>,<@633398160844259348>,ft20,20 - 3,ph3x
<@864526001681334325>  <@186075780768333824>,<@367011033384091668> <@456226577798135808>,ft15,15 - 10,team 1
<@864526001681334325>,ruan (?),ft20,20 - 3,ph3x
<@170289081278922753> <@186075780768333824>,<@367011033384091668>  <@456226577798135808>,ft15,15 - 8,team 2
<@864526001681334325> <@254234672639377409>,<@367011033384091668>  <@456226577798135808>,ft15,15 -13,team 1
<@864526001681334325> <@637908000052477953>,<@367011033384091668>  <@456226577798135808>,ft15,15 -14,team 1
<@864526001681334325> <@274129266265030657>,<@367011033384091668>  <@456226577798135808>,ft15,15 -11,team 2
<@864526001681334325>,<@633398160844259348>,ft20,20 - 8,ph3x
<@864526001681334325> <@203943566479851521>,<@637908000052477953> <@456226577798135808>,ft15,15 -11,team 1
<@864526001681334325>,<@254234672639377409>,ft20,20 - 8,ph3x
<@!186075780768333824> & <@!246256712334442497>,<@!352816819557629962>,ft10,10-7,team1
<@!864526001681334325>,<@!215963632121413632>,ft20,20 - 10,ph3x
<@456226577798135808>,<@531534866097897485>,ft20,20 - 10,yumi
<@864526001681334325>,<@215963632121413632>,ft20,20 - 11,ph3x
<@!352816819557629962> & <@!186075780768333824>,<@!246256712334442497>,ft10,10-3,zender
<@864526001681334325>,<@456226577798135808>,ft20,20 - 12,ph3x
<@!352816819557629962> & <@!246256712334442497>,<@!186075780768333824>,ft10,10-7,team1
